,star_name,distance,mass,radius,gravity
73,2MASSI J0859254-194926 [de],36,5.7408009733872e-05,8.9301348474912e-07,332035.38051381975
74,2MASSI J0937347+293142,45.6,5.2851818485152e-05,8.9301348474912e-07,332035.38051381975
75,2MASS 0939−2448,38,6.1052962732848e-05,9.2035063224144e-07,312603.45009849285
76,2MASS J09490860-1545485 [de],61,4.6473150736944005e-05,8.839011022516801e-07,338916.75995905255
77,2MASS J10073369-4555147,61,2.9159623991808002e-05,8.747887197542401e-07,346014.30061357695
78,2MASSI J1010148-040649 [de],65,5.3763056734896004e-05,9.021258672465601e-07,325361.4727532625
79,2MASS J10224821+5825453 [de],48,1.9136003244624002e-05,1.2028344896620801e-06,183015.8284237101
80,2MASSW J1036530-344138 [de],51,6.9254106980544e-05,9.6591254472864e-07,283808.09847407654
81,2MASS J1047538+212423 [de],29.7,6.5609153981568e-05,9.385753972363202e-07,300581.37378214014
82,DEN 1048-3956,38,8.383391897644801e-05,1.08437351719536e-06,225186.62484674287
83,Luhman 16B,38.5,5.3763056734896004e-05,9.021258672465601e-07,325361.4727532625
84,Luhman 16A,47,1.0114744572158401e-05,1.366857374616e-06,141727.45753132112
85,DENIS-P J1058.7−1548,72,8.201144247696e-06,1.1846097246672002e-06,188690.4020387411
86,TWA 28,47,4.0094482988736e-05,8.5656395475936e-07,360894.95183960226
87,Cha 110913-773444,35.1,4.0094482988736e-05,8.5656395475936e-07,360894.95183960226
88,SDSS J111010.01+011613.1,20.7,6.2875439232336e-05,9.294630147388801e-07,306504.01715251105
89,2MASS J11145133−2618235,71,7.198782172977601e-05,9.841373097235202e-07,273394.0152996163
90,TWA 26,46,5.1940580235408e-05,9.021258672465601e-07,325361.4727532625
91,2MASS J11544223-3400390 [de],23.9,4.0094482988736e-05,8.5656395475936e-07,360894.95183960226
92,2MASSW J1155395-372735 [de],53,2.7337147492320003e-05,1.3030706971339201e-06,155942.48102375297
93,2MASS J12074836-3900043,34,3.9183244738992006e-05,8.5656395475936e-07,360894.95183960226
94,2MASSI J1217110-031113 [de],67,4.4650674237456e-05,8.839011022516801e-07,338916.75995905255
95,2M 1237+6526,51,3.7360768239503996e-05,8.5656395475936e-07,360894.95183960226
96,TWA 29,37,6.6520392231312e-05,9.476877797337601e-07,294828.753185533
97,SDSSp J125453.90-012247.4 [de],68,2.1869717993856e-05,1.2757335496416e-06,162697.3364517717
98,Kelu-1A,67,4.2828197737968e-05,8.839011022516801e-07,338916.75995905255
99,Kelu-1B,74,4.100572123848e-05,8.656763372568e-07,353337.15174013586
100,2MASS J13204427+0409045,20,7.0165345230288e-05,9.750249272260802e-07,278528.0631019937
101,SDSSp J132629.82-003831.5 [de],35.9,6.1052962732848e-05,9.2035063224144e-07,312603.45009849285
102,SDSSp J134646.45-003150.4 [de],25.3,8.7478871975424e-05,1.11171066468768e-06,214248.0377892183
103,2MASS J13595510-4034582,51,2.2780956243599998e-05,1.71312790951872e-06,90223.73795990057
104,ULAS J141623.94+134836.3,29.7,4.1916959488224004e-05,8.747887197542401e-07,346014.30061357695
105,SDSS J141659.78+500626.4 [de],149,6.378667748208e-05,9.294630147388801e-07,306504.01715251105
106,DENIS-P J142527.97-365023.4 [de],38,6.2875439232336e-05,9.294630147388801e-07,306504.01715251105
107,LHS 2924,38.5,5.923048623336001e-06,1.39419452210832e-06,136224.00762333826
108,2MASS J14392837+1929150,47,8.5656395475936e-05,1.1025982821902402e-06,217803.96109929137
109,LSPM J1440+1339,72,4.1916959488224004e-05,8.747887197542401e-07,346014.30061357695
110,2MASS J14482563+1031590 [de],47,5.0118103735920004e-05,9.021258672465601e-07,325361.4727532625
111,CFBDSIR 1458+10A,104,2.0047241494368e-05,1.2119468721595202e-06,180274.05701027333
112,CFBDSIR 1458+10B,104,2.4603432743088e-05,1.28484593213904e-06,160397.75637315656
113,TVLM 513-46546,35.1,5.558553323438401e-05,9.021258672465601e-07,325361.4727532625
114,2MASS 1503+2525,20.7,3.8272006489248004e-05,8.5656395475936e-07,360894.95183960226
115,CFBDS J150411+102717,71,6.6520392231312e-05,9.476877797337601e-07,294828.753185533
116,2MASSW J1506544+132106 [de],46,1.0934858996928e-05,1.1754973421697601e-06,191627.17351449587
117,2MASS 1507−1627,23.9,1.5491050245648003e-05,1.44886881709296e-06,126136.93265514517
118,TVLM 868-110639,53,8.0188965977472e-05,1.05703636970304e-06,236984.8242014511
119,2MASSW J1515008+484742 [de],34,7.289905997952e-05,9.932496922209603e-07,268400.6223764603
120,2MASSI J1526140+204341 [de],67,5.467429498464e-06,1.06614875220048e-06,232951.11362807555
121,DENIS-P J153941.96-052042.4 [de],51,1.3668573746160001e-05,3.8272006489248e-06,18077.48182797463
122,2MASS J15462718-3325111 [de],37,9.11238249744e-06,3.4627053490272e-06,22083.57198375849
123,2MASSW J1552591+294849 [de],68,2.7337147492320003e-05,7.8366489477984e-07,431161.14040761563
124,2MASS J23515044-2537367,67,0.005727528,0.00111686796,0.2122739650583632
125,2MASSI J2356547-155310,74,0.014318820000000001,0.0040092696,0.01647289290070257
126,WISE 0410+1502,20,0.00954588,0.0036274344,0.020123395482575718
127,WISE 0458+6434A,35.9,0.028637640000000002,0.00082094568,0.3928905229426628
128,WISE 1405+5534,25.3,30,0.86,143862.5765991933
